"","hour","meanH","sdH","minH","maxH","varH","rateH","posH","negH","neutH","proximityH"
"297","Feb 15 11",-0.294409171597633,0.45178220949012,-0.9517,0.8544,0.204107164811775,338,0.0575473372781065,0.156227810650888,0.786198224852071,16.2280087113741
"298","Feb 15 12",-0.2759033203125,0.445001104737861,-0.9483,0.8402,0.198025983217917,512,0.053388671875,0.149498046875,0.797107421875,17.1788666449653
"299","Feb 15 13",-0.26405472972973,0.466774563076898,-0.9623,0.8555,0.217878492735629,592,0.0624577702702703,0.152380067567568,0.785148648648649,18.1788466591592
"300","Feb 15 14",-0.27429591280654,0.457605531149698,-0.9707,0.9413,0.209402822138797,734,0.0549564032697548,0.148610354223433,0.796410081743869,19.1637238873751
"301","Feb 15 15",-0.301151905387648,0.457544338202001,-0.9573,0.885,0.209346821420707,761,0.0588147174770039,0.164773981603154,0.776409986859396,20.1638772083516
"302","Feb 15 16",-0.286409164149043,0.460947269991161,-0.9663,0.9034,0.212472385712304,993,0.0598418932527694,0.160959718026183,0.779186304128902,21.1686172653016
"303","Feb 15 17",-0.326767628205128,0.447454908467182,-0.9723,0.8885,0.200215895111374,936,0.0510277777777778,0.167924145299145,0.781049145299145,22.1317227564103
"304","Feb 15 18",-0.288643952483801,0.462263502930707,-0.9679,0.8885,0.213687546141768,926,0.060170626349892,0.157011879049676,0.782801295896328,23.1525782937365
"305","Feb 15 19",-0.327341009852217,0.429067474429469,-0.967,0.9032,0.184098897613283,812,0.0503115763546798,0.163174876847291,0.786516009852217,24.1664839901478
"306","Feb 15 20",-0.32793476702509,0.455311088219207,-0.9501,0.9442,0.207308187055358,837,0.0534635603345281,0.168243727598566,0.778302270011947,25.1416666666667
"307","Feb 15 21",-0.347866464155529,0.44271134375137,-0.9686,0.7906,0.195993333886144,823,0.047093560145808,0.170613608748481,0.782301336573512,26.1475178884839
"308","Feb 15 22",-0.321494960212202,0.457152185076099,-0.9715,0.8796,0.208988120319852,754,0.0568474801061008,0.167334217506631,0.775844827586207,27.1483233863837
"309","Feb 15 23",-0.330734334203655,0.444664926279056,-0.9686,0.8789,0.197726896662758,766,0.0531919060052219,0.167967362924282,0.778848563968668,28.1569883231796
"310","Feb 16 00",-0.286003008595989,0.455429131928353,-0.967,0.8743,0.207415694209013,698,0.0605143266475645,0.161939828080229,0.777551575931232,29.1381271887934
"311","Feb 16 01",-0.327618355359765,0.459178214058035,-0.9432,0.8457,0.210844632265526,681,0.0581189427312775,0.17552422907489,0.766336270190896,30.1636849404471
"312","Feb 16 02",-0.324794542772861,0.435205545743051,-0.9382,0.8356,0.189403867045507,678,0.0568716814159292,0.169147492625369,0.774005899705015,31.1295349885284
"313","Feb 16 03",-0.3335,0.449621616712747,-0.9524,0.8834,0.202159598215385,651,0.0612027649769585,0.179639016897081,0.759164362519201,32.144057433009
"314","Feb 16 04",-0.307806333333333,0.467677631892072,-0.9725,0.8689,0.218722367372176,600,0.065095,0.178178333333333,0.756716666666667,33.1184171296296
"315","Feb 16 05",-0.256551059322034,0.511749243181624,-0.9501,0.9001,0.261887287896964,472,0.0755720338983051,0.165205508474576,0.759216101694915,34.109043079096
"316","Feb 16 06",-0.333772206303725,0.476989178834584,-0.9468,0.8225,0.227518676725291,349,0.0663925501432665,0.188220630372493,0.745381088825215,35.1233014963387
"317","Feb 16 07",-0.329298290598291,0.501375546661538,-0.9509,0.872,0.251377438790156,117,0.070025641025641,0.185700854700855,0.744239316239316,36.3893827160494
"318","Feb 16 08",-0.325668811881188,0.475056190934136,-0.9591,0.7866,0.22567838454485,202,0.070519801980198,0.186836633663366,0.742643564356436,37.1208374587459
"319","Feb 16 09",-0.34343097826087,0.505162028399545,-0.9389,0.6369,0.255188674936743,184,0.0709565217391304,0.19683152173913,0.732211956521739,38.1227173913043
"320","Feb 16 10",-0.382818905472637,0.495400729350287,-0.9337,0.7906,0.245421882640796,201,0.0723980099502488,0.211348258706468,0.716213930348259,39.168184079602
"321","Feb 16 11",-0.401738364779874,0.474723294373324,-0.9382,0.8889,0.225362206220662,318,0.0707735849056604,0.217185534591195,0.712037735849057,40.1771235150245
"322","Feb 16 12",-0.397467941176471,0.46860610689947,-0.9389,0.7906,0.219591683423477,340,0.07535,0.216155882352941,0.708470588235294,41.1725392156863
"323","Feb 16 13",-0.420455053763441,0.456100037968607,-0.9709,0.7964,0.208027244634965,465,0.0667913978494624,0.221337634408602,0.711877419354839,42.1837037037037
"324","Feb 16 14",-0.364026182432432,0.48155040447957,-0.9382,0.8356,0.231890792054437,592,0.0739932432432432,0.2055,0.720498310810811,43.1462870683183
"325","Feb 16 15",-0.376501081916538,0.471903551122785,-0.9595,0.8271,0.222692961562295,647,0.0751591962905719,0.209537867078825,0.715307573415765,44.1462416280268
"326","Feb 16 16",-0.385346995377504,0.456405588956378,-0.9501,0.8689,0.208306061630618,649,0.0752788906009245,0.207744221879815,0.716975346687211,45.165716058894
"327","Feb 16 17",-0.370275641025641,0.429271710117418,-0.9747,0.8779,0.184274201107132,624,0.0695400641025641,0.201629807692308,0.72880608974359,46.159250801282
"328","Feb 16 18",-0.42192411971831,0.437460426347384,-0.9747,0.8356,0.191371624620035,568,0.0780017605633803,0.228570422535211,0.693420774647887,47.1400440140845
"329","Feb 16 19",-0.369489737991266,0.452552962679649,-0.9747,0.8902,0.204804184030128,458,0.0759803493449782,0.204866812227074,0.719139737991266,48.141109291606
"330","Feb 16 20",-0.349138248847926,0.462666114142455,-0.9747,0.9029,0.214059933175679,434,0.0838686635944701,0.201101382488479,0.715020737327189,49.1173419098822
"331","Feb 16 21",-0.380338072289157,0.455219177868922,-0.9747,0.8555,0.207224499899657,415,0.0756963855421687,0.210084337349398,0.714209638554217,50.1163547523427
"332","Feb 16 22",-0.312098072289157,0.489403772964047,-0.9747,0.9442,0.239516052991444,415,0.0826626506024096,0.197084337349398,0.720233734939759,51.1525535475234
"333","Feb 16 23",-0.339189002557545,0.497273974277893,-0.9747,0.8555,0.247281405494131,391,0.0872762148337596,0.206406649616368,0.706294117647059,52.1697982381358
